June 25 2013 4:12:03 PM +0200,	290
June 25 2013 4:11:33 PM +0200,	295
June 25 2013 4:11:03 PM +0200,	307
June 25 2013 4:10:33 PM +0200,	308
June 25 2013 4:10:03 PM +0200,	306
June 25 2013 4:09:32 PM +0200,	312
June 25 2013 4:09:02 PM +0200,	316
June 25 2013 4:08:32 PM +0200,	316
June 25 2013 4:08:02 PM +0200,	322
June 25 2013 4:07:32 PM +0200,	327
June 25 2013 4:07:01 PM +0200,	330
June 25 2013 4:06:31 PM +0200,	328
June 25 2013 4:06:01 PM +0200,	325
June 25 2013 4:05:30 PM +0200,	320
June 25 2013 4:05:00 PM +0200,	318
June 25 2013 4:04:30 PM +0200,	319
June 25 2013 4:04:00 PM +0200,	317
June 25 2013 4:03:30 PM +0200,	317
June 25 2013 4:03:00 PM +0200,	316
June 25 2013 4:02:30 PM +0200,	321
June 25 2013 4:02:00 PM +0200,	329
June 25 2013 4:01:30 PM +0200,	324
June 25 2013 4:01:00 PM +0200,	324
June 25 2013 4:00:30 PM +0200,	321
June 25 2013 4:00:00 PM +0200,	311
June 25 2013 3:59:30 PM +0200,	309
June 25 2013 3:58:59 PM +0200,	308
June 25 2013 3:58:29 PM +0200,	310
June 25 2013 3:57:59 PM +0200,	305
June 25 2013 3:57:29 PM +0200,	308
June 25 2013 3:56:59 PM +0200,	307
June 25 2013 3:56:29 PM +0200,	304
June 25 2013 3:55:59 PM +0200,	304
June 25 2013 3:55:29 PM +0200,	300
June 25 2013 3:54:59 PM +0200,	297
June 25 2013 3:54:29 PM +0200,	293
June 25 2013 3:53:59 PM +0200,	293
June 25 2013 3:53:29 PM +0200,	295
June 25 2013 3:52:59 PM +0200,	303
June 25 2013 3:52:29 PM +0200,	299
June 25 2013 3:51:59 PM +0200,	298
June 25 2013 3:51:29 PM +0200,	295
June 25 2013 3:50:59 PM +0200,	290
June 25 2013 3:50:29 PM +0200,	293
June 25 2013 3:49:59 PM +0200,	295
June 25 2013 3:49:29 PM +0200,	296
June 25 2013 3:48:59 PM +0200,	292
June 25 2013 3:48:29 PM +0200,	285
June 25 2013 3:47:59 PM +0200,	286
June 25 2013 3:47:29 PM +0200,	281
June 25 2013 3:46:59 PM +0200,	281
June 25 2013 3:46:29 PM +0200,	279
June 25 2013 3:45:59 PM +0200,	275
June 25 2013 3:45:29 PM +0200,	281
June 25 2013 3:44:59 PM +0200,	278
June 25 2013 3:44:29 PM +0200,	282
June 25 2013 3:43:59 PM +0200,	279
June 25 2013 3:43:29 PM +0200,	264
June 25 2013 3:42:59 PM +0200,	270
June 25 2013 3:42:29 PM +0200,	274
June 25 2013 3:41:59 PM +0200,	279
June 25 2013 3:41:29 PM +0200,	281
June 25 2013 3:40:59 PM +0200,	284
June 25 2013 3:40:29 PM +0200,	279
June 25 2013 3:39:59 PM +0200,	281
June 25 2013 3:39:29 PM +0200,	272
June 25 2013 3:38:59 PM +0200,	276
June 25 2013 3:38:29 PM +0200,	279
June 25 2013 3:37:59 PM +0200,	280
June 25 2013 3:37:29 PM +0200,	273
June 25 2013 3:36:59 PM +0200,	274
June 25 2013 3:36:29 PM +0200,	270
June 25 2013 3:35:59 PM +0200,	264
June 25 2013 3:35:28 PM +0200,	263
June 25 2013 3:34:58 PM +0200,	262
June 25 2013 3:34:28 PM +0200,	263
June 25 2013 3:33:58 PM +0200,	267
June 25 2013 3:33:28 PM +0200,	265
June 25 2013 3:32:58 PM +0200,	263
June 25 2013 3:32:28 PM +0200,	260
June 25 2013 3:31:58 PM +0200,	262
June 25 2013 3:31:28 PM +0200,	258
June 25 2013 3:30:58 PM +0200,	261
June 25 2013 3:30:28 PM +0200,	259
June 25 2013 3:29:58 PM +0200,	255
June 25 2013 3:29:28 PM +0200,	257
June 25 2013 3:28:58 PM +0200,	262
June 25 2013 3:28:28 PM +0200,	263
June 25 2013 3:27:58 PM +0200,	265
June 25 2013 3:27:27 PM +0200,	270
June 25 2013 3:26:57 PM +0200,	265
June 25 2013 3:26:27 PM +0200,	263
June 25 2013 3:25:57 PM +0200,	264
June 25 2013 3:25:27 PM +0200,	259
June 25 2013 3:24:57 PM +0200,	261
June 25 2013 3:24:27 PM +0200,	250
June 25 2013 3:23:57 PM +0200,	259
June 25 2013 3:23:27 PM +0200,	255
June 25 2013 3:22:57 PM +0200,	256
June 25 2013 3:22:27 PM +0200,	261
June 25 2013 3:21:57 PM +0200,	262
June 25 2013 3:21:27 PM +0200,	261
June 25 2013 3:20:57 PM +0200,	262
June 25 2013 3:20:27 PM +0200,	263
June 25 2013 3:19:57 PM +0200,	262
June 25 2013 3:19:27 PM +0200,	266
June 25 2013 3:18:57 PM +0200,	269
June 25 2013 3:18:27 PM +0200,	262
June 25 2013 3:17:57 PM +0200,	262
June 25 2013 3:17:27 PM +0200,	263
June 25 2013 3:16:57 PM +0200,	265
June 25 2013 3:16:27 PM +0200,	274
June 25 2013 3:15:57 PM +0200,	277
June 25 2013 3:15:27 PM +0200,	275
June 25 2013 3:14:57 PM +0200,	268
June 25 2013 3:14:27 PM +0200,	263
June 25 2013 3:13:57 PM +0200,	262
June 25 2013 3:13:27 PM +0200,	259
June 25 2013 3:12:57 PM +0200,	257
June 25 2013 3:12:27 PM +0200,	258
June 25 2013 3:11:57 PM +0200,	257
June 25 2013 3:11:27 PM +0200,	268
June 25 2013 3:10:57 PM +0200,	271
June 25 2013 3:10:25 PM +0200,	279
June 25 2013 3:09:55 PM +0200,	275
June 25 2013 3:09:25 PM +0200,	270
June 25 2013 3:08:55 PM +0200,	278
June 25 2013 3:08:25 PM +0200,	277
June 25 2013 3:07:55 PM +0200,	281
June 25 2013 3:07:25 PM +0200,	283
June 25 2013 3:06:55 PM +0200,	281
June 25 2013 3:06:25 PM +0200,	281
June 25 2013 3:05:55 PM +0200,	284
June 25 2013 3:05:25 PM +0200,	283
June 25 2013 3:04:52 PM +0200,	284
June 25 2013 3:04:22 PM +0200,	281
June 25 2013 3:03:52 PM +0200,	280
June 25 2013 3:03:22 PM +0200,	280
June 25 2013 3:02:52 PM +0200,	280
June 25 2013 3:02:22 PM +0200,	278
June 25 2013 3:01:52 PM +0200,	279
June 25 2013 3:01:22 PM +0200,	279
June 25 2013 3:00:52 PM +0200,	278
June 25 2013 3:00:21 PM +0200,	275
June 25 2013 2:59:51 PM +0200,	278
June 25 2013 2:59:21 PM +0200,	277
June 25 2013 2:58:51 PM +0200,	281
June 25 2013 2:58:21 PM +0200,	275
June 25 2013 2:57:51 PM +0200,	278
June 25 2013 2:57:21 PM +0200,	265
June 25 2013 2:56:51 PM +0200,	265
June 25 2013 2:56:21 PM +0200,	261
June 25 2013 2:55:51 PM +0200,	261
June 25 2013 2:55:21 PM +0200,	257
June 25 2013 2:54:51 PM +0200,	259
June 25 2013 2:54:21 PM +0200,	251
June 25 2013 2:53:51 PM +0200,	250
June 25 2013 2:53:21 PM +0200,	252
June 25 2013 2:52:51 PM +0200,	249
June 25 2013 2:52:21 PM +0200,	244
June 25 2013 2:51:51 PM +0200,	245
June 25 2013 2:51:21 PM +0200,	245
June 25 2013 2:50:51 PM +0200,	245
June 25 2013 2:50:21 PM +0200,	248
June 25 2013 2:49:51 PM +0200,	247
June 25 2013 2:49:20 PM +0200,	244
June 25 2013 2:48:50 PM +0200,	245
June 25 2013 2:48:20 PM +0200,	242
June 25 2013 2:47:49 PM +0200,	241
June 25 2013 2:47:19 PM +0200,	231
June 25 2013 2:46:49 PM +0200,	231
June 25 2013 2:46:19 PM +0200,	229
June 25 2013 2:45:49 PM +0200,	230
June 25 2013 2:45:19 PM +0200,	228
June 25 2013 2:44:49 PM +0200,	226
June 25 2013 2:44:19 PM +0200,	218
June 25 2013 2:43:49 PM +0200,	217
June 25 2013 2:43:19 PM +0200,	217
June 25 2013 2:42:49 PM +0200,	217
June 25 2013 2:42:19 PM +0200,	219
June 25 2013 2:41:49 PM +0200,	221
June 25 2013 2:41:19 PM +0200,	213
June 25 2013 2:40:49 PM +0200,	212
June 25 2013 2:40:18 PM +0200,	208
June 25 2013 2:39:48 PM +0200,	209
June 25 2013 2:39:18 PM +0200,	207
June 25 2013 2:38:48 PM +0200,	208
June 25 2013 2:38:18 PM +0200,	203
June 25 2013 2:37:48 PM +0200,	199
June 25 2013 2:37:18 PM +0200,	193
June 25 2013 2:36:48 PM +0200,	190
June 25 2013 2:36:18 PM +0200,	184
June 25 2013 2:35:48 PM +0200,	183
June 25 2013 2:35:18 PM +0200,	182
June 25 2013 2:34:48 PM +0200,	184
June 25 2013 2:34:18 PM +0200,	178
June 25 2013 2:33:48 PM +0200,	176
June 25 2013 2:33:18 PM +0200,	170
June 25 2013 2:32:48 PM +0200,	170
June 25 2013 2:32:18 PM +0200,	176
June 25 2013 2:31:48 PM +0200,	179
June 25 2013 2:31:18 PM +0200,	176
June 25 2013 2:30:48 PM +0200,	174
June 25 2013 2:30:18 PM +0200,	166
June 25 2013 2:29:48 PM +0200,	164
June 25 2013 2:29:18 PM +0200,	163
June 25 2013 2:28:48 PM +0200,	165
June 25 2013 2:28:18 PM +0200,	164
June 25 2013 2:27:48 PM +0200,	163
June 25 2013 2:27:18 PM +0200,	159
June 25 2013 2:26:48 PM +0200,	157
June 25 2013 2:26:18 PM +0200,	156
June 25 2013 2:25:48 PM +0200,	155
June 25 2013 2:25:18 PM +0200,	151
June 25 2013 2:24:48 PM +0200,	151
June 25 2013 2:24:18 PM +0200,	142
June 25 2013 2:23:48 PM +0200,	143
June 25 2013 2:23:18 PM +0200,	142
June 25 2013 2:22:48 PM +0200,	140
June 25 2013 2:22:17 PM +0200,	130
June 25 2013 2:21:47 PM +0200,	126
June 25 2013 2:21:17 PM +0200,	119
June 25 2013 2:20:47 PM +0200,	121
June 25 2013 2:20:17 PM +0200,	118
June 25 2013 2:19:47 PM +0200,	123
June 25 2013 2:19:17 PM +0200,	120
June 25 2013 2:18:47 PM +0200,	120
June 25 2013 2:18:17 PM +0200,	119
